p1, p2, p3, average minority fraction, variance
0.5, 0.24, 0.15, 0.12410726256983241, 0.00019083542211541463
0.5, 0.24, 0.18, 0.13851396648044692, 0.00012916243063574795
0.5, 0.24, 0.21, 0.15465921787709497, 0.00012847805748884245
0.5, 0.24, 0.24, 0.16754189944134076, 0.0001037874623139103
0.5, 0.24, 0.27, 0.17849608938547487, 8.520104615960801e-05
0.5, 0.27, 0.0, 6.6666666666666675e-06, 4.399999999999998e-09
0.5, 0.27, 0.03, 5.333333333333334e-05, 1.056e-07
0.5, 0.27, 0.06, 0.05598435754189944, 0.00019693293967104646
0.5, 0.27, 0.09, 0.08454972067039106, 0.00041517400830186325
0.5, 0.27, 0.12, 0.11977877094972066, 0.0002669356387128991
0.5, 0.27, 0.15, 0.1406659217877095, 0.00010919319621734651
0.5, 0.27, 0.18, 0.15306145251396647, 0.00018605454761087356
0.5, 0.27, 0.21, 0.16905027932960892, 0.00011162272338566213
0.5, 0.27, 0.24, 0.17991508379888269, 7.55074261102962e-05
0.5, 0.27, 0.27, 0.1928826815642458, 0.00011954713023938079
